internalCode	providerCode	name	provider	neto	iva	netoIva	minimumTotal	sellPrice	stock	minimumStock
10001	O230102	ABRAZADERA  DE  1/2	REP AUSTRAL	71	13	84	166	350		
11544	A208	"ABRAZADERA CALIDAD SUPERIOR 44-64MM 2,5"""	MERCOCHILE	170	32	202	397	450		
11545	A210	"ABRAZADERA CALIDAD SUPERIOR 70-89MM 3,1/2"""	MERCOCHILE	200	38	238	467	600		
11261	O230104	ABRAZADERA DE 1, 1/6	REP AUSTRAL	75	14	89	175	350		
10002	O230103	ABRAZADERA DE 3/4	REP AUSTRAL	83	16	99	194	350		
10017	80W90	ACEITE  80W90 946ML CAJA	RODACAR	2.017	383	2.400	4.713	3.600		
10933	103896	ACEITE 10W40  ELAION SEMI SINTETICO 1 LITRO	YPF	2.906	552	3.458	6.790	5.150		
11651	10W40	ACEITE 10W40  OPTIMUS 3,78 LTS	RODACAR	6.471	1.229	7.700	15.120	11.400		
10934	1038997124	ACEITE 10W40 ELAION  SEMI SINTETICO 4 Lt	YPF	10.295	1.956	12.251	24.055	18.200		
10003	10W/40 lt	ACEITE 10W40 MAX GASOLINA 946ML	RODACAR	1.597	303	1.900	3.731	2.850		
10022	10W/40	ACEITE 10W40 OPTIMUS 	RODACAR	1.975	375	2.350	4.615	3.500		
10028	15W/40	ACEITE 15W40  OPTIMUS 1/4 GALON 	RODACAR	1.847	351	2.198	4.316	3.300		
10014	15W/40	ACEITE 15W40 BIDON CI4-SL 3,78LT OPTIMUS	RODACAR	6.975	1.325	8.300	16.297	12.300		
10935	105596	ACEITE 15W40 ELAION TORQUE MINERAL  1 LITRO	YPF	2.148	408	2.556	5.019	3.800		
11256	105599130	ACEITE 15W40 ELAION TORQUE MINERAL 4 LITROS	YPF	8.642	1.642	10.284	20.192	15.200		
11595	1055997	ACEITE 15W40 ELAION TORQUE MIX 4 LTS	YPF	9.602	1.824	11.426	22.435	16.900		
10937	189299	ACEITE 15W40 EXTRA VIDA XV300  4 LITROS	YPF	7.782	1.479	9.261	18.183	13.700		
10007	15W40	ACEITE 15W40 OPTIMUS 946ML CI4-SL OPTIMUS	RODACAR	2.200	418	2.618	5.140	3.900		
10031	O11500	ACEITE 20W50  PARA MOTOS  4T LIQUI MOLY 	LIQUI MOLY	4.922	935	5.857	11.500	7.900		
10015	20W/50	ACEITE 20W50 BIDON SL/CH4 3,78LT OPTIMUS	RODACAR	6.303	1.198	7.501	14.727	11.100		
10029	20W/50	ACEITE 20W50 OPTIMUS 1/4 GALON	RODACAR	1.849	351	2.200	4.320	3.300		
10011	194096	ACEITE 20W50 SUPER 1 LT YPF	YPF	1.750	333	2.083	4.089	3.100		
10010	194099	ACEITE 20W50 SUPER 4LTS YPF	YPF	8.292	1.575	9.867	19.375	14.550		
10012	107925	ACEITE 2T ELAION	YPF	612	116	728	1.430	1.500		
10936	106396	ACEITE 5W30 ELAION SINTETICO F50 D2 	YPF	4.512	857	5.369	10.542	7.950		
10018	123096	ACEITE 80W90 HIPOIDAL 1 LITRO 	YPF	1.534	291	1.825	3.584	2.700		
11634	75W90	ACEITE CAJA 754W90 SEMI SINTETICO OPTIMUS	RODACAR	2.311	439	2.750	5.400	4.100		
10024	ATF III	ACEITE HIDRAULICO ATF DEXRON III	RODACAR	2.059	391	2.450	4.811	3.650		
10026	125492	ACEITE HIDRAULICO ATF TIPO A ROJO	YPF	1.254	238	1.492	2.930	2.250		
10030	O11591	ACEITE PARA CADENAS MOTOS SPRITE MOTORBIKE WELL	LIQUI MOLY	7.538	1.432	8.970	17.613	12.000		
10033	SAE 50	ACEITE SAE 50  RELLENO 900 ML OPTIMUS	RODACAR	1.261	240	1.501	2.946	2.250		
10034	103692	ACEITE SAE-50 NORMAL 205 LTS	YPF	854	162	1.016	1.995	1.550		
10035	O50010228	ACERO LIQUIDO ARLON	BENLUB	1.588	302	1.890	3.710	3.500		
11385	499	ACERO LIQUIDO ARLON 4 MINUTOS	BRM	745	142	887	1.741	3.000		
10969	489	ACERO LIQUIDO ARLON PREMIUN TRANSPARENTE	BRM	1.150	219	1.369	2.687	3.500		
11277	O630105	ACERO LIQUIDO CPI USA BLISTYER 57GRS	REP AUSTRAL	1.316	250	1.566	3.075	3.500		
10036	O50010111	ACERO LIQUIDO GUNK 56G	BENLUB	1.639	311	1.950	3.830	4.000		
10037	O40010027	AGUA DESTILADA AGUACOL 5L	BENLUB	832	158	990	1.944	1.500		
11377		AGUA DESTILADA SOQUIPRA 5 LTS	SOQUIPRA	690	131	821	1.612	1.600		
10038	K25-8004N	AGUJA Y ASIENTO G200Z 20 81-88	ALSACIA	2.460	467	2.927	5.748	6.500		
10039	O430355	AMARRA PLASTICA BLANCA 7,2X500MM	REP AUSTRAL	56	11	67	131	150		
11675	O430328	AMARRA PLASTICA NEGRA 4,8X200	REP AUSTRAL	23	4	27	54	100		
10040	O430334	AMARRA PLASTICA NEGRA 4,8X300MM	REP AUSTRAL	31	6	37	72	150		
11676	O430356	AMARRA PLASTICA NEGRA 7,2X530	REP AUSTRAL	55	10	65	129	150		
10041	O430312	AMARRA PLASTICAS NEGRA 3,6X200MM	REP AUSTRAL	21	4	25	49	100		
10042	O430316	AMARRA PLASTICAS NEGRA 3,6X280MM	REP AUSTRAL	23	4	27	54	100		
11380	5350	AMARRAS PLASTICAS 4,8 X 350 BLANCO	BRM	25	5	30	58	100		
11638	7400	AMARRAS PLASTICAS 4,8X400 NEGRO	BRM	39	7	46	91	100		
10043	O430329	AMARRAS PLASTICAS BLANCA 4,8 X200MM	REP AUSTRAL	27	5	32	63	100		
10044	O430335	AMARRAS PLASTICAS BLANCA 4,8X300MM	REP AUSTRAL	31	6	37	72	150		
10045	O430355	AMARRAS PLASTICAS BLANCA 7,2 X 500MM	REP AUSTRAL	61	12	73	143	150		
11617	O430337	AMARRAS PLASTICAS BLANCAS 4,8X350MM	REP AUSTRAL	31	6	37	72	100		
11421	AMR107	AMARRAS PLASTICAS NEGRAS 7,5X500	MERCOCHILE	47	9	56	110	200		
11292	8-94433-687	AMORTIGUADOR  DELANTERO CHV LUV 1,6-1,8-2,0-2,3 DER IZQ PICK UP	ALSACIA	4.925	936	5.861	11.507	14.900		
10046	OJ2013	AMORTIGUADOR CHEV LUV 1,6-2,3 89-UP TRASERO DER-IZQ OJO/OJO	ALSACIA	6.740	1.281	8.021	15.748	16.000		
10047	2204	AMORTIGUADOR DELANTERO CHV LUV 72-88 1,6-1,8-2,0 89-98	ALSACIA	9.880	1.877	11.757	23.085	25.000		
10048	HY00188D	AMORTIGUADOR HY TUCSON/KIA SPORTAGE PRO TRASERO LH GAS	IMP MARIN	13.812	2.624	16.436	32.272	29.000		
10049	HY00187D	AMORTIGUADOR HY TUCSON/KIA SPORTAGE PRO TRASERO RH GAS	IMP MARIN	13.812	2.624	16.436	32.272	29.000		
11092	520224	AMORTIGUADOR PORTALON PEUGEOT 206	BRM	5.980	1.136	7.116	13.973	15.000		
10050	2861	AMORTIGUADOR TRASERO CHV LUV 1,6-2,3 89 REFORZADO	ALSACIA	9.880	1.877	11.757	23.085	27.000		
10051	2819	AMORTIGUADOR TRASERO DER-IZQ CHV LUV 1,6-1,8-2,2-2,3 C22NE	ALSACIA	9.880	1.877	11.757	23.085	27.000		
10052	PB3442	AMORTIGUADOR TY YARIS 06-08 TRASERO	ALSACIA	11.860	2.253	14.113	27.711	27.500		
10053	PO1834	AMORTIGUQADOR CHEV LUV 4WD 89-98 4ZD1 2,3 99-08 C22NE 2,2	ALSACIA	6.950	1.321	8.271	16.239	16.000		
11294	RA- 276	AMPOLETA COLA PEZCADO T-20 1 CONTACTO 12V AMBAR	MERCOCHILE	363	69	432	848	1.000		
10054	8103	AMPOLLEA 1 CONTACTO GLOBO GRANDE AMBAR	BENLUB	168	32	200	393	500		
10055	O160586	AMPOLLEA 1 CONTACTO P/P 12V 21W NARANJA	REP AUSTRAL	101	19	120	236	500		
10065	O160557	AMPOLLETA  1 CONTACTO 12V 21W	REP AUSTRAL	101	19	120	236	500		
10111	O020211	AMPOLLETA  893 12V 37W PG13 FLOSER	REP AUSTRAL	2.744	521	3.265	6.411	6.500		
10102	O170663	AMPOLLETA  9004 12V 100/80W 	REP AUSTRAL	1.092	207	1.299	2.552	2.500		
10117	O170652	AMPOLLETA  9006 12V 80W	REP AUSTRAL	1.361	259	1.620	3.180	3.000		
10080	O160103	AMPOLLETA  AMBAR GLOBO GRANDE	REP AUSTRAL	147	28	175	343	500		
10122	O170674	AMPOLLETA  H11 12V 55W PGJ 19-2	REP AUSTRAL	1.689	321	2.010	3.946	3.900		
10125	O170606	AMPOLLETA  H3 12V 100W AZUL	REP AUSTRAL	450	86	536	1.051	2.500		
10142	O171045	AMPOLLETA  H4 24V 100/90W BLISTER P43T	REP AUSTRAL	868	165	1.033	2.028	2.800		
10962	83157AM	AMPOLLETA  ZOQUETE PLASTICO AMERICANO 2 CTOS AMBAR 12V 25W	BRM	790	150	940	1.846	2.500		
11085	TA-024-A2055	AMPOLLETA 1 CONTACTO  GLOBO CHICO 12V 10W BA15S	IMBRA	110	21	131	257	400		
11195	RA211	AMPOLLETA 1 CONTACTO 12 V BLANCA MISHIMA/NARVA	MERCOCHILE	130	25	155	304	500		
11602	8182	AMPOLLETA 1 CONTACTO 12V 10W T18	BRM	220	42	262	514	500		
11605	8144AM	AMPOLLETA 1 CONTACTO 24V GLOBO GRANDE 21W AMBAR	BRM	220	42	262	514	500		
10964	83156AM	AMPOLLETA 1 CONTACTO AMERICANA ZOQUETE PLASTICO PLOMO  AMBAR 12V 25W	BRM	690	131	821	1.612	2.000		
10072	O40010119	AMPOLLETA 1 CONTACTO GLOBO CHICO  24V	BENLUB	134	25	159	313	350		
10057	3227	AMPOLLETA 1 CONTACTO GLOBO GRANDE	BENLUB	151	29	180	353	500		
11094	O90010104	AMPOLLETA 1 CONTACTO P/P AMBAR	BENLUB	211	40	251	493	500		
11293	RA-40	AMPOLLETA 1 CONTACTP P/P 12V ROJA	MERCOCHILE	100	19	119	234	500		
11387	RA6	AMPOLLETA 1 CTO 12V AMBAR	MERCOCHILE	100	19	119	234	500		
11386	RA253	AMPOLLETA 1 CTO 24 V P/P MISHIMA	MERCOCHILE	130	25	155	304	400		
10058	O020203	AMPOLLETA 12V 1,2W BASE  NEGRA FLOSSER	REP AUSTRAL	305	58	363	713	1.000		
11593	O020203	AMPOLLETA 12V 1,2W BASE NEGRA FLOSSER	REP AUSTRAL	277	53	330	647	1.000		
11482	O020206	AMPOLLETA 12V 2W VERDE FLOSSER	REP AUSTRAL	508	97	605	1.187	1.500		
11270	O160540	AMPOLLETA 12V 5W 11*39 TIPO FUSIBLE	REP AUSTRAL	38	7	45	89	350		
11636	8141	AMPOLLETA 12V/21W 1 CTO GLOBO GRANDE  	BRM	148	28	176	346	500		
11351	O020207	AMPOLLETA 14V 1,4W NEGRA FLOSSER	REP AUSTRAL	471	89	560	1.101	1.500		
10963	83157	AMPOLLETA 2 CONTACTO AMERICANA  ZOQUETE PLASTICO NEGRO BLANCA 12V 25W	BRM	730	139	869	1.706	2.500		
11196	RA212	AMPOLLETA 2 CONTACTOS 12V BLANCA MISHIMA/NARVA	MERCOCHILE	130	25	155	304	500		
11200	RA122	AMPOLLETA 2 CONTACTOS BLANCA 3157	MERCOCHILE	544	103	647	1.271	1.500		
11706	8134AM	AMPOLLETA 2 CONTACTOS P/D 12V 21/5W  AMBAR	BRM	230	44	274	537	500		
